********************************************************************************
*                                                                               *
*                                                                               *
*                                                                               *
*                         Fuel_Temp ; TAPS-3&4                                  *
*                    Alok Jha ; alokjha@npcil.co.in                             *
*                  NUCLEAR POWER CORPORATION OF INDIA                           *
*                                                                               *
*                                                                               *
*                                                                               *
********************************************************************************

 Calculation of Temperature by Iteration: 
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
Radius		Temperature
0.6226		299.508
0.6227		299.51
0.6228		299.513
0.6229		299.515
0.623		299.517
0.6231		299.519
0.6232		299.521
0.6233		299.524
0.6234		299.526
0.6235		299.528
0.6236		299.53
0.6237		299.532
0.6238		299.535
0.6239		299.537
0.624		299.539
0.6241		299.541
0.6242		299.544
0.6243		299.546
0.6244		299.548
0.6245		299.55
0.6246		299.552
0.6247		299.555
0.6248		299.557
0.6249		299.559
0.625		299.561
0.6251		299.563
0.6252		299.566
0.6253		299.568
0.6254		299.57
0.6255		299.572
0.6256		299.574
0.6257		299.577
0.6258		299.579
0.6259		299.581
0.626		299.583
0.6261		299.585
0.6262		299.588
0.6263		299.59
0.6264		299.592
0.6265		299.594
0.6266		299.596
0.6267		299.599
0.6268		299.601
0.6269		299.603
0.627		299.605
0.6271		299.607
0.6272		299.61
0.6273		299.612
0.6274		299.614
0.6275		299.616
0.6276		299.618
0.6277		299.62
0.6278		299.623
0.6279		299.625
0.628		299.627
0.6281		299.629
0.6282		299.631
0.6283		299.634
0.6284		299.636
0.6285		299.638
0.6286		299.64
0.6287		299.642
0.6288		299.644
0.6289		299.647
0.629		299.649
0.6291		299.651
0.6292		299.653
0.6293		299.655
0.6294		299.658
0.6295		299.66
0.6296		299.662
0.6297		299.664
0.6298		299.666
0.6299		299.668
0.63		299.671
0.6301		299.673
0.6302		299.675
0.6303		299.677
0.6304		299.679
0.6305		299.681
0.6306		299.684
0.6307		299.686
0.6308		299.688
0.6309		299.69
0.631		299.692
0.6311		299.694
0.6312		299.697
0.6313		299.699
0.6314		299.701
0.6315		299.703
0.6316		299.705
0.6317		299.707
0.6318		299.709
0.6319		299.712
0.632		299.714
0.6321		299.716
0.6322		299.718
0.6323		299.72
0.6324		299.722
0.6325		299.725
0.6326		299.727
0.6327		299.729
0.6328		299.731
0.6329		299.733
0.633		299.735
0.6331		299.737
0.6332		299.74
0.6333		299.742
0.6334		299.744
0.6335		299.746
0.6336		299.748
0.6337		299.75
0.6338		299.752
0.6339		299.755
0.634		299.757
0.6341		299.759
0.6342		299.761
0.6343		299.763
0.6344		299.765
0.6345		299.767
0.6346		299.77
0.6347		299.772
0.6348		299.774
0.6349		299.776
0.635		299.778
0.6351		299.78
0.6352		299.782
0.6353		299.785
0.6354		299.787
0.6355		299.789
0.6356		299.791
0.6357		299.793
0.6358		299.795
0.6359		299.797
0.636		299.799
0.6361		299.802
0.6362		299.804
0.6363		299.806
0.6364		299.808
0.6365		299.81
0.6366		299.812
0.6367		299.814
0.6368		299.817
0.6369		299.819
0.637		299.821
0.6371		299.823
0.6372		299.825
0.6373		299.827
0.6374		299.829
0.6375		299.831
0.6376		299.833
0.6377		299.836
0.6378		299.838
0.6379		299.84
0.638		299.842
0.6381		299.844
0.6382		299.846
0.6383		299.848
0.6384		299.85
0.6385		299.853
0.6386		299.855
0.6387		299.857
0.6388		299.859
0.6389		299.861
0.639		299.863
0.6391		299.865
0.6392		299.867
0.6393		299.869
0.6394		299.871
0.6395		299.874
0.6396		299.876
0.6397		299.878
0.6398		299.88
0.6399		299.882
0.64		299.884
0.6401		299.886
0.6402		299.888
0.6403		299.89
0.6404		299.893
0.6405		299.895
0.6406		299.897
0.6407		299.899
0.6408		299.901
0.6409		299.903
0.641		299.905
0.6411		299.907
0.6412		299.909
0.6413		299.911
0.6414		299.913
0.6415		299.916
0.6416		299.918
0.6417		299.92
0.6418		299.922
0.6419		299.924
0.642		299.926
0.6421		299.928
0.6422		299.93
0.6423		299.932
0.6424		299.934
0.6425		299.936
0.6426		299.939
0.6427		299.941
0.6428		299.943
0.6429		299.945
0.643		299.947
0.6431		299.949
0.6432		299.951
0.6433		299.953
0.6434		299.955
0.6435		299.957
0.6436		299.959
0.6437		299.961
0.6438		299.964
0.6439		299.966
0.644		299.968
0.6441		299.97
0.6442		299.972
0.6443		299.974
0.6444		299.976
0.6445		299.978
0.6446		299.98
0.6447		299.982
0.6448		299.984
0.6449		299.986
0.645		299.988
0.6451		299.99
0.6452		299.993
0.6453		299.995
0.6454		299.997
0.6455		299.999
0.6456		300.001
0.6457		300.003
0.6458		300.005
0.6459		300.007
0.646		300.009
0.6461		300.011
0.6462		300.013
0.6463		300.015
0.6464		300.017
0.6465		300.019
0.6466		300.021
0.6467		300.024
0.6468		300.026
0.6469		300.028
0.647		300.03
0.6471		300.032
0.6472		300.034
0.6473		300.036
0.6474		300.038
0.6475		300.04
0.6476		300.042
0.6477		300.044
0.6478		300.046
0.6479		300.048
0.648		300.05
0.6481		300.052
0.6482		300.054
0.6483		300.056
0.6484		300.058
0.6485		300.06
0.6486		300.063
0.6487		300.065
0.6488		300.067
0.6489		300.069
0.649		300.071
0.6491		300.073
0.6492		300.075
0.6493		300.077
0.6494		300.079
0.6495		300.081
0.6496		300.083
0.6497		300.085
0.6498		300.087
0.6499		300.089
0.65		300.091
0.6501		300.093
0.6502		300.095
0.6503		300.097
0.6504		300.099
0.6505		300.101
0.6506		300.103
0.6507		300.105
0.6508		300.107
0.6509		300.109
0.651		300.111
0.6511		300.114
0.6512		300.116
0.6513		300.118
0.6514		300.12
0.6515		300.122
0.6516		300.124
0.6517		300.126
0.6518		300.128
0.6519		300.13
0.652		300.132
0.6521		300.134
0.6522		300.136
0.6523		300.138
0.6524		300.14
0.6525		300.142
0.6526		300.144
0.6527		300.146
0.6528		300.148
0.6529		300.15
0.653		300.152
0.6531		300.154
0.6532		300.156
0.6533		300.158
0.6534		300.16
0.6535		300.162
0.6536		300.164
0.6537		300.166
0.6538		300.168
0.6539		300.17
0.654		300.172
0.6541		300.174
0.6542		300.176
0.6543		300.178
0.6544		300.18
0.6545		300.182
0.6546		300.184
0.6547		300.186
0.6548		300.188
0.6549		300.19
0.655		300.192
0.6551		300.194
0.6552		300.196
0.6553		300.198
0.6554		300.2
0.6555		300.202
0.6556		300.204
0.6557		300.206
0.6558		300.208
0.6559		300.21
0.656		300.212
0.6561		300.214
0.6562		300.216
0.6563		300.218
0.6564		300.22
0.6565		297.464
0.6665		297.505
0.6765		297.545
0.6865		297.584
0.6965		297.622
0.7065		297.659
0.7165		297.695
0.7265		297.729
0.7365		297.763
0.7465		297.796
0.7565		297.828
0.7665		297.859
0.7765		297.89
0.7865		297.919
0.7965		297.948
0.8065		297.976
0.8165		298.004
0.8265		298.031
0.8365		298.057
0.8465		298.082
0.8565		298.107
0.8665		298.132
0.8765		298.156
0.8865		298.179
0.8965		298.202
0.9065		298.224
0.9165		298.246
0.9265		298.267
0.9365		298.288
0.9465		298.308
0.9565		298.328
0.9665		298.348
0.9765		298.367
0.9865		298.386
0.9965		298.404
1.0065		298.422
1.0165		298.44
1.0265		298.457
1.0365		298.474
1.0465		298.491
1.0565		298.507
1.0665		298.523
1.0765		298.539
1.0865		298.555
1.0965		298.57
1.1065		298.585
1.1165		298.599
1.1265		298.614
1.1365		298.628
1.1465		298.642
1.1565		298.656
1.1665		298.669
1.1765		298.682
1.1865		298.695
1.1965		298.708
1.2065		298.72
1.2165		298.733
1.2265		298.745
1.2365		298.757
1.2465		298.769
1.2565		298.78
1.2665		298.791
1.2765		298.803
1.2865		298.814
1.2965		298.824
1.3065		298.835
1.3165		298.846
1.3265		298.856
1.3365		298.866
1.3465		298.876
1.3565		298.886
1.3665		298.896
1.3765		298.906
1.3865		298.915
1.3965		298.924
1.4065		298.934
1.4165		298.943
1.4265		298.952
1.4365		298.961
1.4465		298.969
1.4565		298.978
1.4665		298.986
1.4765		298.995
1.4865		299.003
1.4965		299.011
1.5065		299.019
1.5165		299.027
1.5265		299.035
1.5365		299.043
1.5465		299.05
1.5565		299.058
1.5665		299.065
1.5765		299.072
1.5865		299.08
1.5965		299.087
1.6065		299.094
1.6165		299.101
1.6265		299.108
1.6365		299.115
1.6465		299.121
1.6565		299.128
1.6665		299.134
1.6765		299.141
1.6865		299.147
1.6965		299.154
1.7065		299.16
1.7165		299.166
1.7265		299.172
1.7365		299.178
1.7465		299.184
1.7565		299.19
1.7665		299.196
1.7765		299.202
1.7865		299.207
1.7965		299.213
1.8065		299.219
1.8165		299.224
1.8265		299.23
1.8365		299.235
1.8465		299.24
1.8565		299.246
1.8665		299.251
1.8765		299.256
1.8865		299.261
1.8965		299.266
1.9065		299.271
1.9165		299.276
1.9265		299.281
1.9365		299.286
1.9465		299.291
1.9565		299.295
1.9665		299.3
1.9765		299.305
1.9865		299.309
1.9965		299.314
2.0065		299.318
2.0165		299.323
2.0265		299.327
2.0365		299.332
2.0465		299.336
2.0565		299.34
2.0665		299.345
2.0765		299.349
2.0865		299.353
2.0965		299.357
2.1065		299.361
2.1165		299.365
2.1265		299.369
2.1365		299.373
2.1465		299.377
2.1565		299.381
2.1665		299.385
2.1765		299.389
2.1865		299.393
2.1965		299.396
2.2065		299.4
2.2165		299.404
2.2265		299.408
2.2365		299.411
2.2465		299.415
2.2565		299.418
2.2665		299.422
2.2765		299.425
2.2865		299.429
2.2965		299.432
2.3065		299.436
2.3165		299.439
2.3265		299.442
2.3365		299.446
2.3465		299.449
2.3565		299.452
2.3665		299.456
2.3765		299.459
2.3865		299.462
2.3965		299.465
2.4065		299.468
2.4165		299.471
2.4265		299.475
2.4365		299.478
2.4465		299.481
2.4565		299.484
2.4665		299.487
2.4765		299.49
2.4865		299.492
2.4965		299.495
2.5065		299.498
2.5165		299.501
2.5265		299.504
2.5365		299.507
2.5465		299.51
2.5565		299.512
2.5665		299.515
2.5765		299.518
2.5865		299.521
2.5965		299.523
2.6065		299.526
2.6165		299.529
2.6265		299.531
2.6365		299.534
2.6465		299.536
2.6565		299.539
2.6665		299.542
2.6765		299.544
2.6865		299.547
2.6965		299.549
2.7065		299.552
2.7165		299.554
2.7265		299.557
2.7365		299.559
2.7465		299.561
2.7565		299.564
2.7665		299.566
2.7765		299.569
2.7865		299.571
2.7965		299.573
2.8065		299.576
2.8165		299.578
2.8265		299.58
2.8365		299.582
2.8465		299.585
2.8565		299.587
2.8665		299.589
2.8765		299.591
2.8865		299.593
2.8965		299.596
2.9065		299.598
2.9165		299.6
2.9265		299.602
2.9365		299.604
2.9465		299.606
2.9565		299.608
2.9665		299.61
2.9765		299.612
2.9865		299.614
2.9965		299.616
3.0065		299.618
3.0165		299.62
3.0265		299.622
3.0365		299.624
3.0465		299.626
3.0565		299.628
3.0665		299.63
3.0765		299.632
3.0865		299.634
3.0965		299.636
3.1065		299.638
3.1165		299.64
3.1265		299.641
3.1365		299.643
3.1465		299.645
3.1565		299.647
3.1665		299.649
3.1765		299.651
3.1865		299.652
3.1965		299.654
3.2065		299.656
3.2165		299.658
3.2265		299.659
3.2365		299.661
3.2465		299.663
3.2565		299.665
3.2665		299.666
3.2765		299.668
3.2865		299.67
3.2965		299.671
3.3065		299.673
3.3165		299.675
3.3265		299.676
3.3365		299.678
3.3465		299.68
3.3565		299.681
3.3665		299.683
3.3765		299.684
3.3865		299.686
3.3965		299.688
3.4065		299.689
3.4165		299.691
3.4265		299.692
3.4365		299.694
3.4465		299.695
3.4565		299.697
3.4665		299.698
3.4765		299.7
3.4865		299.701
3.4965		299.703
3.5065		299.704
3.5165		299.706
3.5265		299.707
3.5365		299.709
3.5465		299.71
3.5565		299.711
3.5665		299.713
3.5765		299.714
3.5865		299.716
3.5965		299.717
3.6065		299.719
3.6165		299.72
3.6265		299.721
3.6365		299.723
3.6465		299.724
3.6565		299.725
3.6665		299.727
3.6765		299.728
3.6865		299.729
3.6965		299.731
3.7065		299.732
3.7165		299.733
3.7265		299.735
3.7365		299.736
3.7465		299.737
3.7565		299.739
3.7665		299.74
3.7765		299.741
3.7865		299.742
3.7965		299.744
3.8065		299.745
3.8165		299.746
3.8265		299.747
3.8365		299.749
3.8465		299.75
3.8565		299.751
3.8665		299.752
3.8765		299.753
3.8865		299.755
3.8965		299.756
3.9065		299.757
3.9165		299.758
3.9265		299.759
3.9365		299.761
3.9465		299.762
3.9565		299.763
3.9665		299.764
3.9765		299.765
3.9865		299.766
3.9965		299.767
4.0065		299.769
4.0165		299.77
4.0265		299.771
4.0365		299.772
4.0465		299.773
4.0565		299.774
4.0665		299.775
4.0765		299.776
4.0865		299.777
4.0965		299.779
4.1065		299.78
4.1165		299.781
4.1265		299.782
4.1365		299.783
4.1465		299.784
4.1565		299.785
4.1665		299.786
4.1765		299.787
4.1865		299.788
4.1965		299.789
4.2065		299.79
4.2165		299.791
4.2265		299.792
4.2365		299.793
4.2465		299.794
4.2565		299.795
4.2665		299.796
4.2765		299.797
4.2865		299.798
4.2965		299.799
4.3065		299.8
4.3165		299.801
4.3265		299.802
4.3365		299.803
4.3465		299.804
4.3565		299.805
4.36651		299.806
4.37651		299.807
4.38651		299.808
4.39651		299.809
4.40651		299.81
4.41651		299.811
4.42651		299.811
4.43651		299.812
4.44651		299.813
4.45651		299.814
4.46651		299.815
4.47651		299.816
4.48651		299.817
4.49651		299.818
4.50651		299.819
4.51651		299.82
4.52651		299.82
4.53651		299.821
4.54651		299.822
4.55651		299.823
4.56651		299.824
4.57651		299.825
4.58651		299.826
4.59651		299.827
4.60651		299.827
4.61651		299.828
4.62651		299.829
4.63651		299.83
4.64651		299.831
4.65651		299.832
4.66651		299.832
4.67651		299.833
4.68651		299.834
4.69651		299.835
4.70651		299.836
4.71651		299.837
4.72651		299.837
4.73651		299.838
4.74651		299.839
4.75651		299.84
4.76651		299.841
4.77651		299.841
4.78651		299.842
4.79651		299.843
4.80652		299.844
4.81652		299.845
4.82652		299.845
4.83652		299.846
4.84652		299.847
4.85652		299.848
4.86652		299.848
4.87652		299.849
4.88652		299.85
4.89652		299.851
4.90652		299.851
4.91652		299.852
4.92652		299.853
4.93652		299.854
4.94652		299.854
4.95652		299.855
4.96652		299.856
4.97652		299.857
4.98652		299.857
4.99652		299.858
5.00652		299.859
5.01652		299.86
5.02652		299.86
5.03652		299.861
5.04652		299.862
5.05652		299.862
5.06652		299.863
5.07652		299.864
5.08652		299.865
5.09652		299.865
5.10652		299.866
5.11652		299.867
5.12652		299.867
5.13652		299.868
5.14652		299.869
5.15652		299.869
5.16652		299.87
5.17652		299.871
5.18652		299.871
5.19652		299.872
5.20652		299.873
5.21652		299.873
5.22652		299.874
5.23653		299.875
5.24653		299.875
5.25653		299.876
5.26653		299.877
5.27653		299.877
5.28653		299.878
5.29653		299.879
5.30653		299.879
5.31653		299.88
5.32653		299.881
5.33653		299.881
5.34653		299.882
5.35653		299.882
5.36653		299.883
5.37653		299.884
5.38653		299.884
5.39653		299.885
5.40653		299.886
5.41653		299.886
5.42653		299.887
5.43653		299.887
5.44653		299.888
5.45653		299.889
5.46653		299.889
5.47653		299.89
5.48653		299.89
5.49653		299.891
5.50653		299.892
5.51653		299.892
5.52653		299.893
5.53653		299.893
5.54653		299.894
5.55653		299.895
5.56653		299.895
5.57653		299.896
5.58653		299.896
5.59653		299.897
5.60653		299.898
5.61653		299.898
5.62653		299.899
5.63653		299.899
5.64653		299.9
5.65653		299.9
5.66653		299.901
5.67654		299.901
5.68654		299.902
5.69654		299.903
5.70654		299.903
5.71654		299.904
5.72654		299.904
5.73654		299.905
5.74654		299.905
5.75654		299.906
5.76654		299.906
5.77654		299.907
5.78654		299.908
5.79654		299.908
5.80654		299.909
5.81654		299.909
5.82654		299.91
5.83654		299.91
5.84654		299.911
5.85654		299.911
5.86654		299.912
5.87654		299.912
5.88654		299.913
5.89654		299.913
5.90654		299.914
5.91654		299.914
5.92654		299.915
5.93654		299.915
5.94654		299.916
5.95654		299.916
5.96654		299.917
5.97654		299.918
5.98654		299.918
5.99654		299.919
6.00654		299.919
6.01654		299.92
6.02654		299.92
6.03654		299.921
6.04654		299.921
6.05654		299.922
6.06654		299.922
6.07654		299.922
6.08654		299.923
6.09654		299.923
6.10654		299.924
6.11655		299.924
6.12655		299.925
6.13655		299.925
6.14655		299.926
6.15655		299.926
6.16655		299.927
6.17655		299.927
6.18655		299.928
6.19655		299.928
6.20655		299.929
6.21655		299.929
6.22655		299.93
6.23655		299.93
6.24655		299.931
6.25655		299.931
6.26655		299.932
6.27655		299.932
6.28655		299.932
6.29655		299.933
6.30655		299.933
6.31655		299.934
6.32655		299.934
6.33655		299.935
6.34655		299.935
6.35655		299.936
6.36655		299.936
6.37655		299.936
6.38655		299.937
6.39655		299.937
6.40655		299.938
6.41655		299.938
6.42655		299.939
6.43655		299.939
6.44655		299.94
6.45655		299.94
6.46655		299.94
6.47655		299.941
6.48655		299.941
6.49655		299.942
